id,size,Relative Time (s),time_spent,access_type
5247,53944.09265899658,43070,0,1
8605,68.48609161376953,43072,0,2
8606,690.9256277084351,43075,0,2
5685,2666.2447242736816,43077,0,1
5679,2666.6387996673584,43082,0,1
8607,0.16545963287353516,43083,0,2
8608,628.3127222061157,43084,0,2
8609,59.64673137664795,43087,0,2
8610,11.490385055541992,43087,0,2
8611,348.47366428375244,43088,0,2
19,0.014689445495605469,43089,0,1
2087,0.00011157989501953125,43089,0,1
54,4.037049293518066,43090,0,1
470,0.0,43091,0,1
8612,875.6488952636719,43091,0,2
8613,8.337515830993652,43092,0,2
8614,341.0484962463379,43096,0,2
8615,6520.385660171509,43098,0,2
8616,1087.678056716919,43099,0,2
8617,113032.31562614441,43103,0,2
470,0.0,43105,0,1
470,0.0,43106,0,1
30,9.5367431640625e-07,43109,0,1
5696,2666.630268096924,43110,0,1
470,0.0,43111,0,1
20,0.0002880096435546875,43118,0,1
8618,1080843.9796705246,43124,0,2
8619,119.52427387237549,43125,0,2
8620,1081238.9308481216,43125,0,2
8621,272456.4219903946,43128,0,2
8622,1080843.7226247787,43129,0,2
8623,69.5556001663208,43136,0,2
8624,0.09437084197998047,43137,0,2
470,0.0,43138,0,1
8625,13.3858642578125,43139,0,2
5705,2666.292921066284,43144,0,1
8626,844.5060338973999,43156,0,2
6776,0.0005855560302734375,43160,0,1
8627,69.94543838500977,43166,0,2
8628,0.0025157928466796875,43172,0,2
8629,0.006687164306640625,43177,0,2
5738,2666.6784648895264,43177,0,1
8630,0.12551021575927734,43179,0,2
5725,2666.236120223999,43182,0,1
8631,14062.56693649292,43185,0,2
8632,0.0030488967895507812,43185,0,2
8633,0.00017642974853515625,43192,0,2
8634,209.69037342071533,43192,0,2
470,0.0,43194,0,1
470,0.0,43194,0,1
8635,0.054802894592285156,43196,0,2
8636,186782.32025623322,43200,0,2
8637,4086.9486207962036,43202,0,2
8638,0.40639686584472656,43203,0,2
8639,0.38884735107421875,43203,0,2
8640,0.1389026641845703,43203,0,2
8641,0.13266658782958984,43203,0,2
8642,0.03360748291015625,43204,0,2
8643,1.6084814071655273,43205,0,2
8644,1505.08274269104,43206,0,2
8645,1.3741178512573242,43206,0,2
8646,981.0300741195679,43208,0,2
8647,6561.15699672699,43210,0,2
8648,191716.08888435364,43212,0,2
8649,8.763508796691895,43213,0,2
8650,15.816381454467773,43220,0,2
8647,6561.15699672699,43222,0,1
8651,47273.80394935608,43222,0,2
8652,26.363243103027344,43224,0,2
7293,0.0005340576171875,43226,0,1
54,4.037049293518066,43234,0,1
470,0.0,43243,0,1
8653,3606.3395261764526,43252,0,2
8654,1387.533037185669,43253,0,2
8655,0.025434494018554688,43256,0,2
8167,0.0012178421020507812,43258,0,1
8656,186782.32019233704,43259,0,2
8657,4.221356391906738,43262,0,2
8658,0.03420734405517578,43263,0,2
8659,4.704305648803711,43266,0,2
8660,473955.0688085556,43266,0,2
8661,2.4692487716674805,43268,0,2
8662,879068.2294368744,43270,0,2
8663,2786.914171218872,43275,0,2
8664,636.5849161148071,43275,0,2
7293,0.0005340576171875,43276,0,1
8665,6744.400782585144,43279,0,2
8666,186782.32010364532,43280,0,2
8667,20.105260848999023,43283,0,2
8668,2.344083786010742,43285,0,2
8669,7.7470550537109375,43287,0,2
719,0.092041015625,43294,0,1
8670,87.38367557525635,43295,0,2
8671,0.13518524169921875,43296,0,2
8672,0.08149242401123047,43298,0,2
719,0.092041015625,43302,0,1
470,0.0,43303,0,1
8673,1.8865900039672852,43304,0,2
470,0.0,43305,0,1
8674,0.003719329833984375,43307,0,2
470,0.0,43308,0,1
8675,82.6853494644165,43309,0,2
719,0.092041015625,43311,0,1
8676,23299.844826698303,43311,0,2
8677,0.2530946731567383,43313,0,2
8678,0.43265819549560547,43315,0,2
8679,346.29011249542236,43318,0,2
7293,0.0005340576171875,43321,0,1
8680,193.7104616165161,43325,0,2
470,0.0,43327,0,1
8681,0.0009326934814453125,43337,0,2
8682,1848.9571952819824,43338,0,2
719,0.092041015625,43339,0,1
8683,104094.60064601898,43341,0,2
8684,2480681.6697616577,43341,0,2
8685,1.1042118072509766,43342,0,2
8686,0.3320808410644531,43343,0,2
8687,106698.13944625854,43344,0,2
7293,0.0005340576171875,43344,0,1
8688,33507.60207462311,43349,0,2
30,9.5367431640625e-07,43358,0,1
8689,0.0012140274047851562,43364,0,2
470,0.0,43364,0,1
8690,133857.15161514282,43367,0,2
8691,2.2013635635375977,43369,0,2
8647,6561.15699672699,43376,0,1
719,0.092041015625,43377,0,1
719,0.092041015625,43379,0,1
8692,0.00151824951171875,43379,0,2
8693,0.03735065460205078,43381,0,2
8694,2009.2927150726318,43383,0,2
