id,size,Relative Time (s),time_spent,Access Type
623,0.0028533935546875,21559,0,2
52,0.0,21561,0,1
4656,0.0012397766113281,21562,0,2
4657,0.009160041809082,21563,0,2
624,82.07677459716797,21564,0,2
4658,0.001418113708496,21566,0,2
625,0.0047512054443359,21566,0,2
4659,59700.30359649658,21567,0,2
626,17461.45647239685,21567,0,2
4660,61761.27857875824,21568,0,2
4661,0.0014657974243164,21574,0,2
627,0.0048294067382812,21577,0,2
425,0.0494155883789062,21578,0,1
4662,1.2621545791625977,21578,0,2
470,0.0,21578,0,1
4663,310.3611001968384,21579,0,2
628,0.0014266967773437,21581,0,2
30,9.5367431640625e-07,21583,0,1
625,0.0506057739257812,21586,0,1
629,0.0285015106201171,21587,0,2
630,0.004434585571289,21588,0,2
4664,318494.1699066162,21589,0,2
631,0.003091812133789,21593,0,2
4665,1427176.9538497925,21594,0,2
632,0.0020637512207031,21598,0,2
546,0.0354080200195312,21599,0,1
142,0.0027656555175781,21605,0,1
88,5.91278076171875e-05,21605,0,1
54,4.037049293518066,21606,0,1
622,0.0004558563232421,21607,0,1
4321,115.41468715667725,21609,0,1
4666,78.12725448608398,21610,0,2
633,0.0492095947265625,21614,0,2
4328,164.4488868713379,21616,0,1
4667,0.0174512863159179,21616,0,2
634,0.0046730041503906,21616,0,2
412,0.0469837188720703,21617,0,1
4669,90.29429817199708,21620,0,2
4670,32.80592060089111,21620,0,2
4668,0.000619888305664,21620,0,2
635,0.0022163391113281,21620,0,2
4671,120672.03624343872,21621,0,2
4672,0.8462772369384766,21623,0,2
636,0.000314712524414,21625,0,2
4673,811.5093307495117,21626,0,2
4673,811.5093307495117,21626,0,1
4673,811.5093307495117,21627,0,1
637,0.0399799346923828,21627,0,2
4674,25056.02825164795,21630,0,2
625,0.0047512054443359,21634,0,1
638,0.0336570739746093,21634,0,2
4666,78.12725448608398,21635,0,1
4675,0.0741415023803711,21636,0,2
639,0.0033302307128906,21641,0,2
526,0.0406608581542968,21646,0,1
640,0.0040397644042968,21647,0,2
470,0.0,21647,0,1
4676,3.1406164169311523,21649,0,2
4677,6.056325912475586,21650,0,2
1028,5.600369453430176,21651,0,2
4678,326704.2600955963,21653,0,2
641,0.0047540664672851,21656,0,2
642,0.0317115783691406,21657,0,2
4679,1.597003936767578,21658,0,2
4680,393.5628595352173,21659,0,2
4668,0.000619888305664,21662,0,1
643,0.004831314086914,21663,0,2
644,0.0045948028564453,21672,0,2
645,0.0456218719482421,21673,0,2
646,0.0041179656982421,21679,0,2
647,186.61893272399905,21679,0,2
643,0.004831314086914,21688,0,1
4681,5.470166206359863,21688,0,2
648,0.0459136962890625,21689,0,2
3685,110352.57771778108,21690,0,1
4682,0.0027036666870117,21692,0,2
632,0.0020637512207031,21693,0,1
633,0.0492095947265625,21695,0,1
3685,110352.57771778108,21695,0,1
650,0.0031623840332031,21699,0,2
649,0.0344352722167968,21699,0,2
651,0.0025348663330078,21704,0,2
154,7.43865966796875e-05,21704,0,1
4668,0.000619888305664,21704,0,1
159,0.0002403259277343,21705,0,1
4683,12542.014329910278,21708,0,2
652,0.0356025695800781,21708,0,2
4684,331.7794551849365,21710,0,2
654,0.0080738067626953,21713,0,2
653,0.0047531127929687,21713,0,2
4685,93.39896965026855,21714,0,2
4686,20.26973247528076,21715,0,2
655,0.0030937194824218,21718,0,2
153,9.1552734375e-05,21719,0,1
656,0.0045967102050781,21726,0,2
4675,0.0741415023803711,21726,0,1
473,0.0470809936523437,21729,0,1
657,0.0018196105957031,21731,0,2
4687,2782.500231742859,21731,0,2
658,0.0010318756103515,21736,0,2
659,0.0402717590332031,21740,0,2
660,0.002777099609375,21741,0,2
4688,576.0911560058594,21743,0,1
4688,576.0911560058594,21743,0,2
4688,576.0911560058594,21744,0,1
4688,576.0911560058594,21744,0,1
4668,0.000619888305664,21746,0,1
669,0.0100421905517578,21750,0,1
4689,0.0048885345458984,21753,0,2
30,9.5367431640625e-07,21754,0,1
470,0.0,21757,0,1
661,0.0464973449707031,21758,0,2
633,0.0492095947265625,21758,0,1
88,5.91278076171875e-05,21759,0,1
4690,2.6236495971679688,21762,0,2
1029,377.6341009140015,21763,0,2
4691,521.7977914810181,21767,0,2
4691,521.7977914810181,21769,0,1
4691,521.7977914810181,21769,0,1
4691,521.7977914810181,21771,0,1
4692,815.2929573059082,21779,0,2
4668,0.000619888305664,21785,0,1
30,9.5367431640625e-07,21785,0,1
4693,0.002899169921875,21790,0,2
87,0.0001201629638671,21791,0,1
643,0.004831314086914,21794,0,1
4694,58.20550727844238,21796,0,2
662,0.0045986175537109,21802,0,2
663,0.0024623870849609,21806,0,2
4696,900.2315216064453,21806,0,1
4695,0.0073070526123046,21806,0,2
4696,900.2315216064453,21806,0,2
4696,900.2315216064453,21807,0,1
4696,900.2315216064453,21807,0,1
427,0.0498046875,21810,0,1
4697,52284.90089607239,21811,0,2
3685,110352.57771778108,21813,0,1
4698,60283.359786987305,21813,0,2
87,0.0001201629638671,21816,0,1
4699,0.2415018081665039,21817,0,2
643,0.004831314086914,21818,0,1
4700,521253.8355522156,21818,0,2
4701,232.5795764923096,21819,0,2
664,0.0347270965576171,21821,0,2
4702,475.4039974212647,21824,0,2
4703,127.6452178955078,21825,0,2
4668,0.000619888305664,21825,0,1
4704,0.5319156646728516,21830,0,2
4437,0.0055141448974609,21831,0,1
643,0.004831314086914,21831,0,1
4705,1.550583839416504,21832,0,2
87,0.0001201629638671,21832,0,1
665,0.0026912689208984,21835,0,2
4706,0.0026865005493164,21837,0,2
633,0.0492095947265625,21838,0,1
475,0.04669189453125,21839,0,1
646,0.0041179656982421,21842,0,1
1030,6.479438781738281,21844,0,2
54,4.037049293518066,21847,0,1
144,0.0001106262207031,21851,0,1
666,0.0444545745849609,21858,0,2
88,5.91278076171875e-05,21862,0,1
4707,0.1524724960327148,21864,0,2
52,0.0,21867,0,1
4668,0.000619888305664,21867,0,1
52,0.0,21868,0,1
4708,0.001622200012207,21875,0,2
1031,239.73963928222656,21877,0,2
4709,0.1390676498413086,21881,0,2
52,0.0,21883,0,1
4686,20.26973247528076,21884,0,1
643,0.004831314086914,21900,0,1
1032,3.13295841217041,21900,0,2
52,0.0,21903,0,1
427,0.0498046875,21908,0,1
633,0.0492095947265625,21909,0,1
4668,0.000619888305664,21909,0,1
4710,4.243256568908691,21910,0,2
4711,488.7202196121216,21911,0,2
4712,0.0068492889404296,21920,0,2
667,0.0436763763427734,21922,0,2
4713,0.2336273193359375,21922,0,2
4714,1.7888097763061523,21924,0,2
643,0.004831314086914,21929,0,1
668,0.0325870513916015,21930,0,2
4715,0.0366449356079101,21936,0,2
4716,133.03394031524658,21937,0,2
4717,0.1942605972290039,21940,0,2
643,0.004831314086914,21944,0,1
667,0.0436763763427734,21945,0,1
4718,0.0337181091308593,21948,0,2
643,0.004831314086914,21955,0,1
4668,0.000619888305664,21956,0,1
4720,0.0832681655883789,21956,0,2
4719,2.708873748779297,21956,0,2
4722,0.0847110748291015,21957,0,2
4721,0.0933475494384765,21957,0,2
4723,1.2938451766967771,21959,0,2
669,0.0418281555175781,21959,0,2
4724,1.292402267456055,21960,0,2
4722,0.0847110748291015,21960,0,1
4723,1.2938451766967771,21960,0,1
4720,0.0832681655883789,21960,0,1
670,0.0036468505859375,21960,0,2
4724,1.292402267456055,21961,0,1
4725,0.0919046401977539,21961,0,2
4726,15.610031127929688,21967,0,2
643,0.004831314086914,21968,0,1
671,0.0015029907226562,21973,0,2
672,0.0423145294189453,21974,0,2
4727,0.1863641738891601,21977,0,2
1031,239.73963928222656,21978,0,1
633,0.0492095947265625,21979,0,1
4728,11.206466674804688,21979,0,2
643,0.004831314086914,21982,0,1
4729,0.0487833023071289,21983,0,2
4730,229608.95800495148,21984,0,2
4731,0.2441663742065429,21984,0,2
553,0.0434818267822265,21987,0,1
4732,106703.5265674591,21990,0,2
4733,0.1402997970581054,21993,0,2
30,9.5367431640625e-07,21995,0,1
154,7.43865966796875e-05,21995,0,1
4734,0.0011425018310546,21998,0,2
673,0.0430927276611328,22000,0,2
4735,163.6852445602417,22000,0,2
4736,0.0026731491088867,22000,0,2
4737,0.1976556777954101,22003,0,2
186,9.918212890625e-05,22003,0,1
4738,0.0017375946044921,22004,0,2
1296,0.0007143020629882,22006,0,1
4739,0.0026912689208984,22007,0,2
188,0.0001029968261718,22007,0,1
4740,0.0006141662597656,22008,0,2
4741,593.4221696853638,22008,0,2
188,0.0001029968261718,22009,0,1
153,9.1552734375e-05,22010,0,1
1033,49.05842399597168,22011,0,2
643,0.004831314086914,22015,0,1
674,0.0461082458496093,22018,0,2
4742,16.308959007263184,22018,0,2
4743,9.346466064453123,22021,0,2
30,9.5367431640625e-07,22022,0,1
643,0.004831314086914,22023,0,1
797,0.0007867813110351,22027,0,1
470,0.0,22027,0,1
675,0.0386180877685546,22029,0,2
470,0.0,22031,0,1
676,0.0046749114990234,22032,0,2
677,0.0111865997314453,22034,0,2
959,0.0005064010620117,22036,0,1
953,0.0005083084106445,22036,0,1
4744,0.5459680557250977,22037,0,2
678,0.0021324157714843,22038,0,2
677,0.0111865997314453,22040,0,1
633,0.0492095947265625,22040,0,1
953,0.0005083084106445,22042,0,1
4728,11.206466674804688,22043,0,1
4745,255.2698173522949,22046,0,2
679,0.0387153625488281,22047,0,2
435,0.0001068115234375,22048,0,1
4322,0.0005073547363281,22048,0,1
4746,106703.2961845398,22050,0,2
643,0.004831314086914,22053,0,1
204,0.0009059906005859,22053,0,1
4747,0.3409090042114258,22056,0,2
4748,0.006117820739746,22057,0,2
4749,900.9892807006836,22059,0,2
643,0.004831314086914,22064,0,1
4750,1864709.2328224184,22069,0,2
676,0.0046749114990234,22073,0,1
4751,2754871.222439766,22075,0,2
680,12.56175708770752,22078,0,2
66,7.2479248046875e-05,22080,0,1
397,0.0497074127197265,22085,0,1
1031,239.73963928222656,22087,0,1
54,4.037049293518066,22088,0,1
4752,0.5424985885620117,22090,0,2
681,0.0312252044677734,22092,0,2
4753,7.516326904296875,22095,0,2
633,0.0492095947265625,22098,0,1
4754,901.5525798797609,22099,0,2
52,0.0,22102,0,1
4755,181746.38757514957,22106,0,2
682,0.0429954528808593,22106,0,2
4756,181746.38726997373,22107,0,2
643,0.004831314086914,22108,0,1
4757,181746.3877468109,22108,0,2
4668,0.000619888305664,22115,0,1
4758,860.6787977218628,22126,0,2
4759,0.2519187927246094,22128,0,2
23,0.0094547271728515,22130,0,1
643,0.004831314086914,22130,0,1
626,17461.45647239685,22131,0,1
4760,9.3132963180542,22134,0,2
484,0.0493183135986328,22134,0,1
683,4171.6501388549805,22136,0,2
653,0.0047531127929687,22137,0,1
23,0.0094547271728515,22139,0,1
470,0.0,22139,0,1
656,0.0045967102050781,22146,0,1
684,92.03176689147948,22148,0,2
685,0.0455245971679687,22150,0,2
633,0.0492095947265625,22155,0,1
643,0.004831314086914,22156,0,1
146,0.0005760192871093,22158,0,1
686,0.003244400024414,22162,0,2
687,0.0432872772216796,22164,0,2
23,0.0094547271728515,22171,0,1
4761,287.3624267578125,22171,0,2
4762,25841.576365470886,22172,0,2
4763,6186.342360496521,22178,0,2
4764,0.004042625427246,22179,0,2
4765,6.04585075378418,22180,0,2
4763,6186.342360496521,22184,0,1
4763,6186.342360496521,22188,0,1
3685,110352.57771778108,22188,0,1
4766,3606.448706626892,22192,0,2
4767,0.0548410415649414,22194,0,2
4768,2.268631935119629,22194,0,2
