ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
294,181.592773,1.502688,0.270227,5.149566,9,6,1.402424,0.227560,11.503403
295,742.778259,6.146522,1.105325,21.178270,9,6,5.736406,0.930800,45.609364
297,686.278320,5.678983,1.021248,19.567330,9,6,5.300063,0.859998,42.140056
298,631.600708,5.226523,0.939882,18.008349,9,6,4.877793,0.791480,38.782646
299,762.690369,6.311296,1.134956,21.746009,9,6,5.890186,0.955752,46.832042
300,716.633057,5.930170,1.066418,20.432812,9,6,5.534489,0.898036,44.003951
301,817.913391,6.768269,1.217133,23.320541,9,6,6.316668,1.024954,50.222942
302,478.179443,3.956956,0.711577,13.633966,9,6,3.692935,0.599222,29.362007
303,408.442566,3.379880,0.607801,11.645611,9,6,3.154363,0.511833,25.079902
304,134.689651,1.114563,0.200431,3.824153,9,6,1.040195,0.168784,8.318967
305,727.676453,6.021554,1.082852,20.747684,9,6,5.619777,0.911875,44.682056
306,78.640541,0.650754,0.117025,2.232788,9,6,0.607333,0.098547,4.857152
307,685.946777,5.676239,1.020754,19.557877,9,6,5.297502,0.859582,42.119698
308,672.827271,5.567675,1.001231,19.183811,9,6,5.196181,0.843142,41.314111
309,15.852703,0.131182,0.023590,0.454209,9,6,0.122429,0.019866,0.987388
310,88.752441,0.734430,0.132072,2.519889,9,6,0.685427,0.111219,5.481703
311,706.921692,5.849808,1.051967,20.155919,9,6,5.459489,0.885867,43.407636
312,322.318756,2.667202,0.479641,9.190029,9,6,2.489237,0.403908,19.791577
313,98.968658,0.818970,0.147275,2.809951,9,6,0.764326,0.124021,6.112697
314,238.006805,1.969517,0.354177,6.749342,9,6,1.838104,0.298254,15.077076
315,396.890015,3.284282,0.590610,11.316222,9,6,3.065144,0.497356,24.370532
316,795.530762,6.583052,1.183826,22.682362,9,6,6.143809,0.996906,48.848565
317,295.965027,2.449123,0.440424,8.392908,9,6,2.285710,0.370883,18.748570
318,671.260742,5.554712,0.998900,19.139146,9,6,5.184083,0.841179,41.217921
319,133.263504,1.102761,0.198309,3.783662,9,6,1.029181,0.166997,8.230883
320,643.948792,5.328704,0.958257,18.360421,9,6,4.973156,0.806953,39.540865
